Calendar_Year,Calendar_Month,Mode,Average_Daily_Ridership,Source,ObjectId
2019,1,Bus,459160,APC,1
2019,1,CCT,4294,Revenue,2
2019,1,Heavy Rail,296709,Revenue,3
2019,1,Regional Rail,122856,Revenue,4
2019,1,Trackless Trolley,16853,APC,5
2019,1,Trolley,82787,APC,6
2019,2,Bus,464674,APC,7
2019,2,CCT,4652,Revenue,8
2019,2,Heavy Rail,315858,Revenue,9
2019,2,Regional Rail,121161,Revenue,10
2019,2,Trackless Trolley,16812,APC,11
2019,2,Trolley,82787,APC,12
2019,3,Bus,478487,APC,13
2019,3,CCT,6027,Revenue,14
2019,3,Heavy Rail,308777,Revenue,15
2019,3,Regional Rail,118228,Revenue,16
2019,3,Trackless Trolley,18813,APC,17
2019,3,Trolley,82433,APC,18
2019,4,Bus,473732,APC,19
2019,4,CCT,4805,Revenue,20
2019,4,Heavy Rail,305491,Revenue,21
2019,4,Regional Rail,124045,Revenue,22
2019,4,Trackless Trolley,18934,APC,23
2019,4,Trolley,84864,APC,24
2019,5,Bus,480074,APC,25
2019,5,CCT,5655,Revenue,26
2019,5,Heavy Rail,303776,Revenue,27
2019,5,Regional Rail,119187,Revenue,28
2019,5,Trackless Trolley,19452,APC,29
2019,5,Trolley,83413,APC,30
2019,6,Bus,396720,APC,31
2019,6,CCT,4924,Revenue,32
2019,6,Heavy Rail,273813,Revenue,33
2019,6,Regional Rail,113745,Revenue,34
2019,6,Trackless Trolley,15639,APC,35
2019,6,Trolley,73295,APC,36
2019,7,Bus,401911,APC,37
2019,7,CCT,4314,Revenue,38
2019,7,Heavy Rail,263492,Revenue,39
2019,7,Regional Rail,115144,Revenue,40
2019,7,Trackless Trolley,15597,APC,41
2019,7,Trolley,71573,APC,42
2019,8,Bus,406865,APC,43
2019,8,CCT,5649,Revenue,44
2019,8,Heavy Rail,268150,Revenue,45
2019,8,Regional Rail,114436,Revenue,46
2019,8,Trackless Trolley,15313,APC,47
2019,8,Trolley,75874,APC,48
2019,9,Bus,501557,APC,49
2019,9,CCT,4933,Revenue,50
2019,9,Heavy Rail,321907,Revenue,51
2019,9,Regional Rail,138481,Revenue,52
2019,9,Trackless Trolley,19348,APC,53
2019,9,Trolley,80939,APC,54
2019,10,Bus,502857,APC,55
2019,10,CCT,4687,Revenue,56
2019,10,Heavy Rail,326562,Revenue,57
2019,10,Regional Rail,133614,Revenue,58
2019,10,Trackless Trolley,19793,APC,59
2019,10,Trolley,80063,APC,60
2019,11,Bus,490316,APC,61
2019,11,CCT,6145,Revenue,62
2019,11,Heavy Rail,322462,Revenue,63
2019,11,Regional Rail,130761,Revenue,64
2019,11,Trackless Trolley,18880,APC,65
2019,11,Trolley,80113,APC,66
2019,12,Bus,437027,APC,67
2019,12,CCT,4595,Revenue,68
2019,12,Heavy Rail,312677,Revenue,69
2019,12,Regional Rail,128363,Revenue,70
2019,12,Trackless Trolley,17282,APC,71
2019,12,Trolley,78034,APC,72
2020,1,Bus,493261,APC,73
2020,1,CCT,4414,Revenue,74
2020,1,Heavy Rail,311442,Revenue,75
2020,1,Regional Rail,129953,Revenue,76
2020,1,Trackless Trolley,18741,APC,77
2020,1,Trolley,79713,APC,78
2020,2,Bus,503967,APC,79
2020,2,CCT,5075,Revenue,80
2020,2,Heavy Rail,309414,Revenue,81
2020,2,Regional Rail,125397,Revenue,82
2020,2,Trackless Trolley,18226,APC,83
2020,2,Trolley,82076,APC,84
2020,3,Bus,414021,APC,85
2020,3,CCT,3885,Revenue,86
2020,3,Heavy Rail,191819,Revenue,87
2020,3,Regional Rail,60912,Revenue,88
2020,3,Trackless Trolley,14497,APC,89
2020,3,Trolley,58641,APC,90
2020,4,Bus,141411,APC,91
2020,4,CCT,694,Revenue,92
2020,4,Heavy Rail,44353,Revenue,93
2020,4,Regional Rail,5168,Revenue,94
2020,4,Trackless Trolley,4888,APC,95
2020,4,Trolley,14870,APC,96
2020,5,Bus,165838,APC,97
2020,5,CCT,973,Revenue,98
2020,5,Heavy Rail,52913,Revenue,99
2020,5,Regional Rail,2016,Revenue,100
2020,5,Trackless Trolley,6243,APC,101
2020,5,Trolley,20611,APC,102
2020,6,Bus,192334,APC,103
2020,6,CCT,1056,Revenue,104
2020,6,Heavy Rail,66216,Revenue,105
2020,6,Regional Rail,8516,Revenue,106
2020,6,Trackless Trolley,7677,APC,107
2020,6,Trolley,27991,APC,108
2020,7,Bus,203766,APC,109
2020,7,CCT,1076,Revenue,110
2020,7,Heavy Rail,86270,Revenue,111
2020,7,Regional Rail,17381,Revenue,112
2020,7,Trackless Trolley,7666,APC,113
2020,7,Trolley,31135,APC,114
2020,8,Bus,189252,Revenue_Estimate,115
2020,8,CCT,1611,Revenue,116
2020,8,Heavy Rail,87788,Revenue,117
2020,8,Regional Rail,18288,Revenue,118
2020,8,Trackless Trolley,7963,Revenue_Estimate,119
2020,8,Trolley,26191,Revenue_Estimate,120
