Calendar_Year,Calendar_Month,Route,Average_Daily_Ridership,Source,ObjectId
2019,8,59,3811,APC,2
2019,8,60,8550,APC,3
2019,8,61,3563,APC,4
2019,8,62,226,APC,5
2019,8,64,4335,APC,6
2019,8,65,7052,APC,7
2019,8,66,8839,APC,8
2019,8,67,2674,APC,9
2019,8,68,2004,APC,10
2019,8,70,5029,APC,11
2019,8,73,1561,APC,12
2019,8,75,2663,APC,13
2019,8,77,647,APC,14
2019,8,78,114,APC,15
2019,8,79,3898,APC,16
2019,8,80,246,APC,17
2019,8,84,2425,APC,18
2019,8,88,1143,APC,19
2019,8,89,1564,APC,20
2019,8,90,446,APC,21
2019,8,92,322,APC,22
2019,8,93,1298,APC,23
2019,8,94,421,APC,24
2019,8,95,516,APC,25
2019,8,96,1294,APC,26
2019,8,97,655,APC,27
2019,8,98,970,APC,28
2019,8,99,1305,APC,29
2019,8,D1,3553,Traffic_Estimate,30
2019,8,D2,3600,Traffic_Estimate,31
2019,8,103,1107,APC,32
2019,8,104,3303,APC,33
2019,8,105,1146,APC,34
2019,8,106,1272,APC,35
2019,8,107,999,APC,36
2019,8,108,5204,APC,37
2019,8,109,4600,APC,38
2019,8,110,1925,APC,39
2019,8,111,1371,APC,40
2019,8,112,912,APC,41
2019,8,113,6708,APC,42
2019,8,114,1904,APC,43
2019,8,115,1014,APC,44
2019,8,117,1912,APC,45
2019,8,118,430,APC,46
2019,8,119,740,APC,47
2019,8,120,265,APC,48
2019,8,123,1021,APC,49
2019,8,124,1830,APC,50
2019,8,125,2289,APC,51
2019,8,126,634,APC,52
2019,8,127,342,APC,53
2019,8,128,375,APC,54
2019,8,129,977,APC,55
2019,8,130,543,APC,56
2019,8,131,635,APC,57
2019,8,132,402,APC,58
2019,8,133,95,APC,59
2019,8,139,412,APC,60
2019,8,150,19,APC,61
2019,8,201,161,APC,62
2019,8,204,215,APC,63
2019,8,205,67,APC,64
2019,8,206,145,APC,65
2019,8,310,408,APC,66
2019,8,311,212,APC,67
2019,8,47M,852,APC,68
2019,8,BLVDDIR,3118,APC,69
2019,8,B1 OWL,1777,APC,70
2019,8,63,11864,APC,71
2019,8,71,4159,APC,72
2019,8,41,2146,APC,73
2019,8,K,6846,APC,74
2019,8,51,6203,APC,75
2019,8,LUCYGO,1652,APC,76
2019,8,LUCYGR,1091,APC,77
2019,8,L1 OWL,2147,APC,78
2019,8,82,7469,APC,79
2019,8,81,4475,APC,80
2019,9,1,2977,APC,81
2019,9,2,5672,APC,82
2019,9,3,8878,APC,83
2019,9,4,7738,APC,84
2019,9,5,3775,APC,85
2019,9,6,6188,APC,86
2019,9,7,5255,APC,87
2019,9,8,2690,APC,88
2019,9,9,5126,APC,89
2019,9,T1,10422,Traffic,90
2019,9,T4,13033,APC,91
2019,9,12,2595,APC,92
2019,9,T3,13411,APC,93
2019,9,14,6202,APC,94
2019,9,G1,10194,Traffic,95
2019,9,16,7022,APC,96
2019,9,17,9671,APC,97
2019,9,18,13879,APC,98
2019,9,19,1447,APC,99
2019,9,20,4898,APC,100
2019,9,21,10376,APC,101
2019,9,22,4473,APC,102
2019,9,23,15089,APC,103
2019,9,24,2408,APC,104
2019,9,25,4517,APC,105
2019,9,26,11262,APC,106
2019,9,27,4627,APC,107
2019,9,28,2054,APC,108
2019,9,29,4675,APC,109
2019,9,30,1349,APC,110
2019,9,31,5218,APC,111
2019,9,32,4888,APC,112
2019,9,33,11808,APC,113
2019,9,T2,12058,APC,114
2019,9,35,170,APC,115
2019,9,T5,13406,APC,116
2019,9,37,3559,APC,117
2019,9,38,2885,APC,118
2019,9,39,2214,APC,119
2019,9,40,7603,APC,120
2019,9,42,9673,APC,121
2019,9,43,3906,APC,122
2019,9,44,3678,APC,123
2019,9,45,5571,APC,124
2019,9,46,5678,APC,125
2019,9,47,17684,APC,126
2019,9,48,7577,APC,127
2019,9,49,3076,APC,128
2019,9,50,2100,APC,129
2019,9,52,15067,APC,130
2019,9,53,2896,APC,131
2019,9,54,7826,APC,132
2019,9,55,4905,APC,133
2019,9,56,12058,APC,134
2019,9,57,11012,APC,135
2019,9,58,8439,APC,136
2019,9,59,4996,APC,137
2019,9,60,10707,APC,138
2019,9,61,4171,APC,139
2019,9,62,246,APC,140
2019,9,64,6262,APC,141
2019,9,65,8344,APC,142
2019,9,66,11032,APC,143
2019,9,67,4933,APC,144
2019,9,68,2129,APC,145
2019,9,70,8365,APC,146
2019,9,73,2493,APC,147
2019,9,75,3320,APC,148
2019,9,77,809,APC,149
2019,9,78,83,APC,150
2019,9,79,5555,APC,151
2019,9,80,238,APC,152
2019,9,84,3734,APC,153
2019,9,88,2291,APC,154
2019,9,89,2005,APC,155
2019,9,90,447,APC,156
2019,9,92,347,APC,157
2019,9,93,1323,APC,158
2019,9,94,543,APC,159
2019,9,95,607,APC,160
2019,9,96,1507,APC,161
2019,9,97,690,APC,162
2019,9,98,1032,APC,163
2019,9,99,1279,APC,164
2019,9,D1,4180,Traffic,165
2019,9,D2,4235,Traffic,166
2019,9,103,1347,APC,167
2019,9,104,3583,APC,168
2019,9,105,1294,APC,169
2019,9,106,1395,APC,170
2019,9,107,1082,APC,171
2019,9,108,5730,APC,172
2019,9,109,4561,APC,173
2019,9,110,2116,APC,174
2019,9,111,1575,APC,175
2019,9,112,1368,APC,176
2019,9,113,7312,APC,177
2019,9,114,2056,APC,178
2019,9,115,1316,APC,179
2019,9,117,2142,APC,180
