ridership,daytype,date,route,month_beginning,avg_weekday_rides,monthtotal,avg_sunday_holiday_rides,avg_saturday_rides,routename
1287,W,2001-01-04,68,2001-01-01,1579.5,38614.0,286.5,608.1,Northwest Highway
3035,W,2001-01-02,157,2001-01-01,3315.2,72933.0,0.0,0.0,Streeterville/Taylor
1039,W,2001-01-03,122,2001-01-01,1122.9,24705.0,0.0,0.0,Illinois Center/Ogilvie Express
311,U,2001-01-01,43,2001-01-01,1351.0,34213.0,354.8,679.3,43rd
11313,W,2001-01-04,67,2001-01-01,14219.5,387336.0,7025.6,9844.6,67th-69th-71st
9138,W,2001-01-04,156,2001-01-01,9039.1,198859.0,0.0,0.0,LaSalle
14915,W,2001-01-02,8,2001-01-01,19582.2,521892.0,8280.8,12420.0,Halsted
274,W,2001-01-02,64,2001-01-01,337.2,7419.0,0.0,0.0,Foster-Canfield
2743,W,2001-01-03,8A,2001-01-01,3196.5,89030.0,1336.2,3006.6,South Halsted
17872,W,2001-01-05,8,2001-01-01,19582.2,521892.0,8280.8,12420.0,Halsted
12428,W,2001-01-04,74,2001-01-01,12842.3,351804.0,5968.0,9858.6,Fullerton
6189,U,2001-01-01,67,2001-01-01,14219.5,387336.0,7025.6,9844.6,67th-69th-71st
11749,W,2001-01-02,87,2001-01-01,15732.2,415524.0,5571.5,10389.7,87th
10401,W,2001-01-03,54,2001-01-01,12138.9,334903.0,5940.5,9536.3,Cicero
1346,W,2001-01-03,203,2001-01-01,1593.3,35053.0,0.0,0.0,Ridge/Grant
2506,W,2001-01-03,18,2001-01-01,1923.8,49130.0,642.3,898.5,16th/18th
21081,W,2001-01-04,4,2001-01-01,22432.2,618796.0,10662.2,17994.0,Cottage Grove
8027,W,2001-01-02,78,2001-01-01,8891.8,235297.0,3274.2,5826.3,Montrose
19000,W,2001-01-02,4,2001-01-01,22432.2,618796.0,10662.2,17994.0,Cottage Grove
945,W,2001-01-04,96,2001-01-01,1343.2,29550.0,0.0,0.0,Lunt
10139,W,2001-01-05,12,2001-01-01,10763.5,288055.0,4691.0,6950.6,Roosevelt
2011,W,2001-01-03,136,2001-01-01,2055.4,45218.0,0.0,0.0,Sheridan/LaSalle Express
3703,W,2001-01-04,84,2001-01-01,4357.5,111265.0,1145.6,2418.1,Peterson
149,W,2001-01-03,173,2001-01-01,253.0,9088.0,254.6,562.1,U. of Chicago/Lakeview Express
3588,W,2001-01-02,84,2001-01-01,4357.5,111265.0,1145.6,2418.1,Peterson
2138,W,2001-01-04,18,2001-01-01,1923.8,49130.0,642.3,898.5,16th/18th
9404,W,2001-01-04,94,2001-01-01,10603.7,269786.0,3467.0,4792.6,South California
