year,month,route,ridership,city
2019,1,1,1587,Chicago
2019,1,100,397,Chicago
2019,1,1001,107,Chicago
2019,1,103,1410,Chicago
2019,1,106,879,Chicago
2019,1,108,858,Chicago
2019,1,11,1054,Chicago
2019,1,111,2273,Chicago
2019,1,111A,133,Chicago
2019,1,112,1291,Chicago
2019,1,115,2168,Chicago
2019,1,119,3044,Chicago
2019,1,12,8660,Chicago
2019,1,120,819,Chicago
2019,1,121,1043,Chicago
2019,1,124,720,Chicago
2019,1,125,1092,Chicago
2019,1,126,3496,Chicago
2019,1,128,1014,Chicago
2019,1,134,2580,Chicago
2019,1,135,3028,Chicago
2019,1,136,1660,Chicago
2019,1,143,1610,Chicago
2019,1,146,9234,Chicago
2019,1,147,8530,Chicago
2019,1,148,2122,Chicago
2019,1,15,5320,Chicago
2019,1,151,11027,Chicago
2019,1,152,6490,Chicago
2019,1,155,4786,Chicago
2019,1,156,6155,Chicago
2019,1,157,4804,Chicago
2019,1,165,170,Chicago
2019,1,169,115,Chicago
2019,1,171,965,Chicago
2019,1,172,1592,Chicago
2019,1,18,2710,Chicago
2019,1,19,175,Chicago
2019,1,192,734,Chicago
2019,1,2,2986,Chicago
2019,1,20,12249,Chicago
2019,1,201,1920,Chicago
2019,1,206,514,Chicago
2019,1,21,6017,Chicago
2019,1,22,12820,Chicago
2019,1,24,2194,Chicago
2019,1,26,3584,Chicago
2019,1,28,4049,Chicago
2019,1,29,7690,Chicago
2019,1,3,11429,Chicago
2019,1,30,2128,Chicago
2019,1,31,390,Chicago
2019,1,34,3439,Chicago
2019,1,35,3364,Chicago
2019,1,36,9745,Chicago
2019,1,37,1408,Chicago
2019,1,39,1266,Chicago
2019,1,4,14214,Chicago
2019,1,43,990,Chicago
2019,1,44,2174,Chicago
2019,1,47,6610,Chicago
2019,1,48,757,Chicago
2019,1,49,12197,Chicago
2019,1,49B,3816,Chicago
2019,1,5,346,Chicago
2019,1,50,6930,Chicago
2019,1,51,895,Chicago
2019,1,52,8589,Chicago
2019,1,52A,2670,Chicago
2019,1,53,13334,Chicago
2019,1,53A,4714,Chicago
2019,1,54,7250,Chicago
2019,1,54A,593,Chicago
2019,1,54B,1896,Chicago
2019,1,55,6768,Chicago
2019,1,55A,269,Chicago
2019,1,55N,413,Chicago
2019,1,56,6164,Chicago
2019,1,57,1620,Chicago
2019,1,59,2474,Chicago
2019,1,6,6800,Chicago
2019,1,60,7430,Chicago
2019,1,62,7064,Chicago
2019,1,62H,676,Chicago
2019,1,63,11138,Chicago
2019,1,63W,1031,Chicago
2019,1,65,5830,Chicago
2019,1,66,15835,Chicago
2019,1,67,7041,Chicago
2019,1,68,754,Chicago
2019,1,7,4299,Chicago
2019,1,70,6172,Chicago
2019,1,71,6671,Chicago
2019,1,72,10296,Chicago
2019,1,73,3701,Chicago
2019,1,74,8524,Chicago
2019,1,75,5062,Chicago
2019,1,76,8148,Chicago
2019,1,77,14426,Chicago
2019,1,78,5336,Chicago
2019,1,79,17953,Chicago
2019,1,8,15088,Chicago
2019,1,80,7733,Chicago
