year,month,route,ridership
2019,1,1,34921
2019,1,100,8739
2019,1,1001,3326
2019,1,103,43708
2019,1,106,27234
2019,1,108,18886
2019,1,11,32663
2019,1,111,70457
2019,1,111A,4114
2019,1,112,40034
2019,1,115,67215
2019,1,119,94355
2019,1,12,268453
2019,1,120,18020
2019,1,121,22946
2019,1,124,22309
2019,1,125,24022
2019,1,126,108368
2019,1,128,1014
2019,1,134,56764
2019,1,135,66620
2019,1,136,36516
2019,1,143,35411
2019,1,146,286245
2019,1,147,264424
2019,1,148,46692
2019,1,15,164915
2019,1,151,341824
2019,1,152,201197
2019,1,155,148373
2019,1,156,135417
2019,1,157,105699
2019,1,165,3746
2019,1,169,2881
2019,1,171,29930
2019,1,172,49365
2019,1,18,84014
2019,1,19,2274
2019,1,192,16155
2019,1,2,65683
2019,1,20,379732
2019,1,201,49927
2019,1,206,11306
2019,1,21,186540
2019,1,22,397432
2019,1,24,48266
2019,1,26,78859
2019,1,28,125521
2019,1,29,238393
2019,1,3,354286
2019,1,30,65966
2019,1,31,8588
2019,1,34,106599
2019,1,35,104285
2019,1,36,302081
2019,1,37,30983
2019,1,39,39239
2019,1,4,440647
2019,1,43,30694
2019,1,44,67403
2019,1,47,204913
2019,1,48,16650
2019,1,49,378102
2019,1,49B,118285
2019,1,5,10719
2019,1,50,214837
2019,1,51,27760
2019,1,52,266254
2019,1,52A,82770
2019,1,53,413361
2019,1,53A,146143
2019,1,54,224745
2019,1,54A,13053
2019,1,54B,58787
2019,1,55,209818
2019,1,55A,5912
2019,1,55N,10734
2019,1,56,191083
2019,1,57,50233
2019,1,59,64329
2019,1,6,210789
2019,1,60,230321
2019,1,62,218996
2019,1,62H,17585
2019,1,63,345274
2019,1,63W,31974
2019,1,65,180735
2019,1,66,490892
2019,1,67,218285
2019,1,68,23382
2019,1,7,94588
2019,1,70,191338
2019,1,71,206798
2019,1,72,319183
2019,1,73,114742
2019,1,74,264233
2019,1,75,156908
2019,1,76,252596
2019,1,77,447193
2019,1,78,165407
2019,1,79,556544
2019,1,8,467741
2019,1,80,239709
2019,1,81,263144
2019,1,81W,34536
2019,1,82,374168
2019,1,84,79789
2019,1,85,203887
2019,1,85A,13320
2019,1,86,41832
2019,1,87,252973
2019,1,88,25887
2019,1,8A,60373
2019,1,9,410428
2019,1,90,89264
2019,1,91,135263
2019,1,92,133114
2019,1,93,68376
2019,1,94,171840
2019,1,95,121646
2019,1,96,14867
2019,1,97,64373
2019,1,J14,232192
2019,1,X49,121206
2019,1,X9,153047
2019,1,X98,250
2019,2,1,36274
2019,2,100,9526
2019,2,1001,6835
2019,2,103,46805
2019,2,106,30847
2019,2,108,20461
2019,2,11,34518
2019,2,111,75182
2019,2,111A,4100
2019,2,112,42277
2019,2,115,69242
2019,2,119,93482
2019,2,12,290146
2019,2,120,18428
2019,2,121,23902
2019,2,124,22540
2019,2,125,23628
2019,2,126,115648
2019,2,130,4664
2019,2,134,56849
2019,2,135,67802
2019,2,136,37536
2019,2,143,35446
