year,month,mode,ridership,city
2019,1,Bus,459160,Philadelphia
2019,1,CCT,4294,Philadelphia
2019,1,Heavy Rail,296709,Philadelphia
2019,1,Regional Rail,122856,Philadelphia
2019,1,Trackless Trolley,16853,Philadelphia
2019,1,Trolley,82787,Philadelphia
2019,2,Bus,464674,Philadelphia
2019,2,CCT,4652,Philadelphia
2019,2,Heavy Rail,315858,Philadelphia
2019,2,Regional Rail,121161,Philadelphia
2019,2,Trackless Trolley,16812,Philadelphia
2019,2,Trolley,82787,Philadelphia
2019,3,Bus,478487,Philadelphia
2019,3,CCT,6027,Philadelphia
2019,3,Heavy Rail,308777,Philadelphia
2019,3,Regional Rail,118228,Philadelphia
2019,3,Trackless Trolley,18813,Philadelphia
2019,3,Trolley,82433,Philadelphia
2019,4,Bus,473732,Philadelphia
2019,4,CCT,4805,Philadelphia
2019,4,Heavy Rail,305491,Philadelphia
2019,4,Regional Rail,124045,Philadelphia
2019,4,Trackless Trolley,18934,Philadelphia
2019,4,Trolley,84864,Philadelphia
2019,5,Bus,480074,Philadelphia
2019,5,CCT,5655,Philadelphia
2019,5,Heavy Rail,303776,Philadelphia
2019,5,Regional Rail,119187,Philadelphia
2019,5,Trackless Trolley,19452,Philadelphia
2019,5,Trolley,83413,Philadelphia
2019,6,Bus,396720,Philadelphia
2019,6,CCT,4924,Philadelphia
2019,6,Heavy Rail,273813,Philadelphia
2019,6,Regional Rail,113745,Philadelphia
2019,6,Trackless Trolley,15639,Philadelphia
2019,6,Trolley,73295,Philadelphia
2019,7,Bus,401911,Philadelphia
2019,7,CCT,4314,Philadelphia
2019,7,Heavy Rail,263492,Philadelphia
2019,7,Regional Rail,115144,Philadelphia
2019,7,Trackless Trolley,15597,Philadelphia
2019,7,Trolley,71573,Philadelphia
2019,8,Bus,406865,Philadelphia
2019,8,CCT,5649,Philadelphia
2019,8,Heavy Rail,268150,Philadelphia
2019,8,Regional Rail,114436,Philadelphia
2019,8,Trackless Trolley,15313,Philadelphia
2019,8,Trolley,75874,Philadelphia
2019,9,Bus,501557,Philadelphia
2019,9,CCT,4933,Philadelphia
2019,9,Heavy Rail,321907,Philadelphia
2019,9,Regional Rail,138481,Philadelphia
2019,9,Trackless Trolley,19348,Philadelphia
2019,9,Trolley,80939,Philadelphia
2019,10,Bus,502857,Philadelphia
2019,10,CCT,4687,Philadelphia
2019,10,Heavy Rail,326562,Philadelphia
2019,10,Regional Rail,133614,Philadelphia
2019,10,Trackless Trolley,19793,Philadelphia
2019,10,Trolley,80063,Philadelphia
2019,11,Bus,490316,Philadelphia
2019,11,CCT,6145,Philadelphia
2019,11,Heavy Rail,322462,Philadelphia
2019,11,Regional Rail,130761,Philadelphia
2019,11,Trackless Trolley,18880,Philadelphia
2019,11,Trolley,80113,Philadelphia
2019,12,Bus,437027,Philadelphia
2019,12,CCT,4595,Philadelphia
2019,12,Heavy Rail,312677,Philadelphia
2019,12,Regional Rail,128363,Philadelphia
2019,12,Trackless Trolley,17282,Philadelphia
2019,12,Trolley,78034,Philadelphia
2020,1,Bus,493261,Philadelphia
2020,1,CCT,4414,Philadelphia
2020,1,Heavy Rail,311442,Philadelphia
2020,1,Regional Rail,129953,Philadelphia
2020,1,Trackless Trolley,18741,Philadelphia
2020,1,Trolley,79713,Philadelphia
2020,2,Bus,503967,Philadelphia
2020,2,CCT,5075,Philadelphia
2020,2,Heavy Rail,309414,Philadelphia
2020,2,Regional Rail,125397,Philadelphia
2020,2,Trackless Trolley,18226,Philadelphia
2020,2,Trolley,82076,Philadelphia
2020,3,Bus,414021,Philadelphia
2020,3,CCT,3885,Philadelphia
2020,3,Heavy Rail,191819,Philadelphia
2020,3,Regional Rail,60912,Philadelphia
2020,3,Trackless Trolley,14497,Philadelphia
2020,3,Trolley,58641,Philadelphia
2020,4,Bus,141411,Philadelphia
2020,4,CCT,694,Philadelphia
2020,4,Heavy Rail,44353,Philadelphia
2020,4,Regional Rail,5168,Philadelphia
2020,4,Trackless Trolley,4888,Philadelphia
2020,4,Trolley,14870,Philadelphia
2020,5,Bus,165838,Philadelphia
2020,5,CCT,973,Philadelphia
2020,5,Heavy Rail,52913,Philadelphia
2020,5,Regional Rail,2016,Philadelphia
2020,5,Trackless Trolley,6243,Philadelphia
2020,5,Trolley,20611,Philadelphia
2020,6,Bus,192334,Philadelphia
2020,6,CCT,1056,Philadelphia
2020,6,Heavy Rail,66216,Philadelphia
2020,6,Regional Rail,8516,Philadelphia
2020,6,Trackless Trolley,7677,Philadelphia
2020,6,Trolley,27991,Philadelphia
2020,7,Bus,203766,Philadelphia
2020,7,CCT,1076,Philadelphia
2020,7,Heavy Rail,86270,Philadelphia
2020,7,Regional Rail,17381,Philadelphia
2020,7,Trackless Trolley,7666,Philadelphia
2020,7,Trolley,31135,Philadelphia
2020,8,Bus,189252,Philadelphia
2020,8,CCT,1611,Philadelphia
2020,8,Heavy Rail,87788,Philadelphia
2020,8,Regional Rail,18288,Philadelphia
2020,8,Trackless Trolley,7963,Philadelphia
2020,8,Trolley,26191,Philadelphia
2020,9,Bus,205693,Philadelphia
2020,9,CCT,1471,Philadelphia
2020,9,Heavy Rail,96188,Philadelphia
2020,9,Regional Rail,23479,Philadelphia
2020,9,Trackless Trolley,7932,Philadelphia
2020,9,Trolley,23834,Philadelphia
2020,10,Bus,207445,Philadelphia
2020,10,CCT,1588,Philadelphia
2020,10,Heavy Rail,97333,Philadelphia
2020,10,Regional Rail,22844,Philadelphia
2020,10,Trackless Trolley,8510,Philadelphia
2020,10,Trolley,23686,Philadelphia
2020,11,Bus,193063,Philadelphia
2020,11,CCT,2004,Philadelphia
2020,11,Heavy Rail,88690,Philadelphia
2020,11,Regional Rail,23836,Philadelphia
2020,11,Trackless Trolley,7551,Philadelphia
2020,11,Trolley,22903,Philadelphia
2020,12,Bus,200729,Philadelphia
2020,12,CCT,1314,Philadelphia
2020,12,Heavy Rail,92190,Philadelphia
2020,12,Regional Rail,23381,Philadelphia
2020,12,Trackless Trolley,7431,Philadelphia
2020,12,Trolley,24671,Philadelphia
2021,1,Bus,184766,Philadelphia
2021,1,CCT,1381,Philadelphia
2021,1,Heavy Rail,88543,Philadelphia
2021,1,Regional Rail,24283,Philadelphia
2021,1,Trackless Trolley,6573,Philadelphia
2021,1,Trolley,24608,Philadelphia
2021,2,Bus,184944,Philadelphia
2021,2,CCT,1399,Philadelphia
2021,2,Heavy Rail,84876,Philadelphia
2021,2,Regional Rail,15466,Philadelphia
2021,2,Trackless Trolley,5884,Philadelphia
2021,2,Trolley,24824,Philadelphia
2021,3,Bus,208266,Philadelphia
2021,3,CCT,2082,Philadelphia
2021,3,Heavy Rail,94351,Philadelphia
2021,3,Regional Rail,21225,Philadelphia
2021,3,Trackless Trolley,7336,Philadelphia
2021,3,Trolley,25485,Philadelphia
2021,4,Bus,209824,Philadelphia
2021,4,CCT,1833,Philadelphia
2021,4,Heavy Rail,104843,Philadelphia
2021,4,Regional Rail,21312,Philadelphia
2021,4,Trackless Trolley,8331,Philadelphia
2021,4,Trolley,27140,Philadelphia
2021,5,Bus,216243,Philadelphia
2021,5,CCT,3158,Philadelphia
2021,5,Heavy Rail,109747,Philadelphia
2021,5,Regional Rail,25380,Philadelphia
2021,5,Trackless Trolley,8752,Philadelphia
2021,5,Trolley,28242,Philadelphia
2021,6,Bus,222345,Philadelphia
2021,6,CCT,1564,Philadelphia
2021,6,Heavy Rail,112267,Philadelphia
2021,6,Regional Rail,28832,Philadelphia
2021,6,Trackless Trolley,8289,Philadelphia
2021,6,Trolley,30826,Philadelphia
