year,month,route_id,ridership,city
2019,8,59,3811,Philadelphia
2019,8,60,8550,Philadelphia
2019,8,61,3563,Philadelphia
2019,8,62,226,Philadelphia
2019,8,64,4335,Philadelphia
2019,8,65,7052,Philadelphia
2019,8,66,8839,Philadelphia
2019,8,67,2674,Philadelphia
2019,8,68,2004,Philadelphia
2019,8,70,5029,Philadelphia
2019,8,73,1561,Philadelphia
2019,8,75,2663,Philadelphia
2019,8,77,647,Philadelphia
2019,8,78,114,Philadelphia
2019,8,79,3898,Philadelphia
2019,8,80,246,Philadelphia
2019,8,84,2425,Philadelphia
2019,8,88,1143,Philadelphia
2019,8,89,1564,Philadelphia
2019,8,90,446,Philadelphia
2019,8,92,322,Philadelphia
2019,8,93,1298,Philadelphia
2019,8,94,421,Philadelphia
2019,8,95,516,Philadelphia
2019,8,96,1294,Philadelphia
2019,8,97,655,Philadelphia
2019,8,98,970,Philadelphia
2019,8,99,1305,Philadelphia
2019,8,D1,3553,Philadelphia
2019,8,D2,3600,Philadelphia
2019,8,103,1107,Philadelphia
2019,8,104,3303,Philadelphia
2019,8,105,1146,Philadelphia
2019,8,106,1272,Philadelphia
2019,8,107,999,Philadelphia
2019,8,108,5204,Philadelphia
2019,8,109,4600,Philadelphia
2019,8,110,1925,Philadelphia
2019,8,111,1371,Philadelphia
2019,8,112,912,Philadelphia
2019,8,113,6708,Philadelphia
2019,8,114,1904,Philadelphia
2019,8,115,1014,Philadelphia
2019,8,117,1912,Philadelphia
2019,8,118,430,Philadelphia
2019,8,119,740,Philadelphia
2019,8,120,265,Philadelphia
2019,8,123,1021,Philadelphia
2019,8,124,1830,Philadelphia
2019,8,125,2289,Philadelphia
2019,8,126,634,Philadelphia
2019,8,127,342,Philadelphia
2019,8,128,375,Philadelphia
2019,8,129,977,Philadelphia
2019,8,130,543,Philadelphia
2019,8,131,635,Philadelphia
2019,8,132,402,Philadelphia
2019,8,133,95,Philadelphia
2019,8,139,412,Philadelphia
2019,8,150,19,Philadelphia
2019,8,201,161,Philadelphia
2019,8,204,215,Philadelphia
2019,8,205,67,Philadelphia
2019,8,206,145,Philadelphia
2019,8,310,408,Philadelphia
2019,8,311,212,Philadelphia
2019,8,47M,852,Philadelphia
2019,8,BLVDDIR,3118,Philadelphia
2019,8,B1 OWL,1777,Philadelphia
2019,8,63,11864,Philadelphia
2019,8,71,4159,Philadelphia
2019,8,41,2146,Philadelphia
2019,8,K,6846,Philadelphia
2019,8,51,6203,Philadelphia
2019,8,LUCYGO,1652,Philadelphia
2019,8,LUCYGR,1091,Philadelphia
2019,8,L1 OWL,2147,Philadelphia
2019,8,82,7469,Philadelphia
2019,8,81,4475,Philadelphia
2019,9,1,2977,Philadelphia
2019,9,2,5672,Philadelphia
2019,9,3,8878,Philadelphia
2019,9,4,7738,Philadelphia
2019,9,5,3775,Philadelphia
2019,9,6,6188,Philadelphia
2019,9,7,5255,Philadelphia
2019,9,8,2690,Philadelphia
2019,9,9,5126,Philadelphia
2019,9,T1,10422,Philadelphia
2019,9,T4,13033,Philadelphia
2019,9,12,2595,Philadelphia
2019,9,T3,13411,Philadelphia
2019,9,14,6202,Philadelphia
2019,9,G1,10194,Philadelphia
2019,9,16,7022,Philadelphia
2019,9,17,9671,Philadelphia
2019,9,18,13879,Philadelphia
2019,9,19,1447,Philadelphia
2019,9,20,4898,Philadelphia
2019,9,21,10376,Philadelphia
2019,9,22,4473,Philadelphia
2019,9,23,15089,Philadelphia
2019,9,24,2408,Philadelphia
2019,9,25,4517,Philadelphia
2019,9,26,11262,Philadelphia
2019,9,27,4627,Philadelphia
2019,9,28,2054,Philadelphia
2019,9,29,4675,Philadelphia
2019,9,30,1349,Philadelphia
2019,9,31,5218,Philadelphia
2019,9,32,4888,Philadelphia
2019,9,33,11808,Philadelphia
2019,9,T2,12058,Philadelphia
2019,9,35,170,Philadelphia
2019,9,T5,13406,Philadelphia
2019,9,37,3559,Philadelphia
2019,9,38,2885,Philadelphia
2019,9,39,2214,Philadelphia
2019,9,40,7603,Philadelphia
2019,9,42,9673,Philadelphia
2019,9,43,3906,Philadelphia
2019,9,44,3678,Philadelphia
2019,9,45,5571,Philadelphia
2019,9,46,5678,Philadelphia
2019,9,47,17684,Philadelphia
2019,9,48,7577,Philadelphia
2019,9,49,3076,Philadelphia
2019,9,50,2100,Philadelphia
2019,9,52,15067,Philadelphia
2019,9,53,2896,Philadelphia
2019,9,54,7826,Philadelphia
2019,9,55,4905,Philadelphia
2019,9,56,12058,Philadelphia
2019,9,57,11012,Philadelphia
2019,9,58,8439,Philadelphia
2019,9,59,4996,Philadelphia
2019,9,60,10707,Philadelphia
2019,9,61,4171,Philadelphia
2019,9,62,246,Philadelphia
2019,9,64,6262,Philadelphia
2019,9,65,8344,Philadelphia
2019,9,66,11032,Philadelphia
2019,9,67,4933,Philadelphia
2019,9,68,2129,Philadelphia
2019,9,70,8365,Philadelphia
2019,9,73,2493,Philadelphia
2019,9,75,3320,Philadelphia
2019,9,77,809,Philadelphia
2019,9,78,83,Philadelphia
2019,9,79,5555,Philadelphia
2019,9,80,238,Philadelphia
2019,9,84,3734,Philadelphia
2019,9,88,2291,Philadelphia
2019,9,89,2005,Philadelphia
2019,9,90,447,Philadelphia
2019,9,92,347,Philadelphia
2019,9,93,1323,Philadelphia
2019,9,94,543,Philadelphia
2019,9,95,607,Philadelphia
2019,9,96,1507,Philadelphia
2019,9,97,690,Philadelphia
2019,9,98,1032,Philadelphia
2019,9,99,1279,Philadelphia
2019,9,D1,4180,Philadelphia
2019,9,D2,4235,Philadelphia
2019,9,103,1347,Philadelphia
2019,9,104,3583,Philadelphia
2019,9,105,1294,Philadelphia
2019,9,106,1395,Philadelphia
2019,9,107,1082,Philadelphia
2019,9,108,5730,Philadelphia
2019,9,109,4561,Philadelphia
2019,9,110,2116,Philadelphia
2019,9,111,1575,Philadelphia
2019,9,112,1368,Philadelphia
2019,9,113,7312,Philadelphia
2019,9,114,2056,Philadelphia
2019,9,115,1316,Philadelphia
2019,9,117,2142,Philadelphia
2019,9,118,581,Philadelphia
2019,9,119,758,Philadelphia
2019,9,120,451,Philadelphia
2019,9,123,900,Philadelphia
2019,9,124,1804,Philadelphia
2019,9,125,2265,Philadelphia
2019,9,126,656,Philadelphia
2019,9,127,324,Philadelphia
2019,9,128,383,Philadelphia
2019,9,129,923,Philadelphia
2019,9,130,672,Philadelphia
2019,9,131,686,Philadelphia
2019,9,132,392,Philadelphia
2019,9,133,90,Philadelphia
2019,9,139,424,Philadelphia
2019,9,150,38,Philadelphia
2019,9,201,159,Philadelphia
2019,9,204,222,Philadelphia
