city,date,route_id,mode,level,ridership
Philadelphia,2019-01-01,,Bus,MODE,459160
Philadelphia,2019-01-01,,CCT,MODE,4294
Philadelphia,2019-01-01,,Heavy Rail,MODE,296709
Philadelphia,2019-01-01,,Regional Rail,MODE,122856
Philadelphia,2019-01-01,,Trackless Trolley,MODE,16853
Philadelphia,2019-01-01,,Trolley,MODE,82787
Philadelphia,2019-02-01,,Bus,MODE,464674
Philadelphia,2019-02-01,,CCT,MODE,4652
Philadelphia,2019-02-01,,Heavy Rail,MODE,315858
Philadelphia,2019-02-01,,Regional Rail,MODE,121161
Philadelphia,2019-02-01,,Trackless Trolley,MODE,16812
Philadelphia,2019-02-01,,Trolley,MODE,82787
Philadelphia,2019-03-01,,Bus,MODE,478487
Philadelphia,2019-03-01,,CCT,MODE,6027
Philadelphia,2019-03-01,,Heavy Rail,MODE,308777
Philadelphia,2019-03-01,,Regional Rail,MODE,118228
Philadelphia,2019-03-01,,Trackless Trolley,MODE,18813
Philadelphia,2019-03-01,,Trolley,MODE,82433
Philadelphia,2019-04-01,,Bus,MODE,473732
Philadelphia,2019-04-01,,CCT,MODE,4805
Philadelphia,2019-04-01,,Heavy Rail,MODE,305491
Philadelphia,2019-04-01,,Regional Rail,MODE,124045
Philadelphia,2019-04-01,,Trackless Trolley,MODE,18934
Philadelphia,2019-04-01,,Trolley,MODE,84864
Philadelphia,2019-05-01,,Bus,MODE,480074
Philadelphia,2019-05-01,,CCT,MODE,5655
Philadelphia,2019-05-01,,Heavy Rail,MODE,303776
Philadelphia,2019-05-01,,Regional Rail,MODE,119187
Philadelphia,2019-05-01,,Trackless Trolley,MODE,19452
Philadelphia,2019-05-01,,Trolley,MODE,83413
Philadelphia,2019-06-01,,Bus,MODE,396720
Philadelphia,2019-06-01,,CCT,MODE,4924
Philadelphia,2019-06-01,,Heavy Rail,MODE,273813
Philadelphia,2019-06-01,,Regional Rail,MODE,113745
Philadelphia,2019-06-01,,Trackless Trolley,MODE,15639
Philadelphia,2019-06-01,,Trolley,MODE,73295
Philadelphia,2019-07-01,,Bus,MODE,401911
Philadelphia,2019-07-01,,CCT,MODE,4314
Philadelphia,2019-07-01,,Heavy Rail,MODE,263492
Philadelphia,2019-07-01,,Regional Rail,MODE,115144
Philadelphia,2019-07-01,,Trackless Trolley,MODE,15597
Philadelphia,2019-07-01,,Trolley,MODE,71573
Philadelphia,2019-08-01,,Bus,MODE,406865
Philadelphia,2019-08-01,,CCT,MODE,5649
Philadelphia,2019-08-01,,Heavy Rail,MODE,268150
Philadelphia,2019-08-01,,Regional Rail,MODE,114436
Philadelphia,2019-08-01,,Trackless Trolley,MODE,15313
Philadelphia,2019-08-01,,Trolley,MODE,75874
Philadelphia,2019-09-01,,Bus,MODE,501557
Philadelphia,2019-09-01,,CCT,MODE,4933
Philadelphia,2019-09-01,,Heavy Rail,MODE,321907
Philadelphia,2019-09-01,,Regional Rail,MODE,138481
Philadelphia,2019-09-01,,Trackless Trolley,MODE,19348
Philadelphia,2019-09-01,,Trolley,MODE,80939
Philadelphia,2019-10-01,,Bus,MODE,502857
Philadelphia,2019-10-01,,CCT,MODE,4687
Philadelphia,2019-10-01,,Heavy Rail,MODE,326562
Philadelphia,2019-10-01,,Regional Rail,MODE,133614
Philadelphia,2019-10-01,,Trackless Trolley,MODE,19793
Philadelphia,2019-10-01,,Trolley,MODE,80063
Philadelphia,2019-11-01,,Bus,MODE,490316
Philadelphia,2019-11-01,,CCT,MODE,6145
Philadelphia,2019-11-01,,Heavy Rail,MODE,322462
Philadelphia,2019-11-01,,Regional Rail,MODE,130761
Philadelphia,2019-11-01,,Trackless Trolley,MODE,18880
Philadelphia,2019-11-01,,Trolley,MODE,80113
Philadelphia,2019-12-01,,Bus,MODE,437027
Philadelphia,2019-12-01,,CCT,MODE,4595
Philadelphia,2019-12-01,,Heavy Rail,MODE,312677
Philadelphia,2019-12-01,,Regional Rail,MODE,128363
Philadelphia,2019-12-01,,Trackless Trolley,MODE,17282
Philadelphia,2019-12-01,,Trolley,MODE,78034
Philadelphia,2020-01-01,,Bus,MODE,493261
Philadelphia,2020-01-01,,CCT,MODE,4414
Philadelphia,2020-01-01,,Heavy Rail,MODE,311442
Philadelphia,2020-01-01,,Regional Rail,MODE,129953
Philadelphia,2020-01-01,,Trackless Trolley,MODE,18741
Philadelphia,2020-01-01,,Trolley,MODE,79713
Philadelphia,2020-02-01,,Bus,MODE,503967
Philadelphia,2020-02-01,,CCT,MODE,5075
Philadelphia,2020-02-01,,Heavy Rail,MODE,309414
Philadelphia,2020-02-01,,Regional Rail,MODE,125397
Philadelphia,2020-02-01,,Trackless Trolley,MODE,18226
Philadelphia,2020-02-01,,Trolley,MODE,82076
Philadelphia,2020-03-01,,Bus,MODE,414021
Philadelphia,2020-03-01,,CCT,MODE,3885
Philadelphia,2020-03-01,,Heavy Rail,MODE,191819
Philadelphia,2020-03-01,,Regional Rail,MODE,60912
Philadelphia,2020-03-01,,Trackless Trolley,MODE,14497
Philadelphia,2020-03-01,,Trolley,MODE,58641
Philadelphia,2020-04-01,,Bus,MODE,141411
Philadelphia,2020-04-01,,CCT,MODE,694
Philadelphia,2020-04-01,,Heavy Rail,MODE,44353
Philadelphia,2020-04-01,,Regional Rail,MODE,5168
Philadelphia,2020-04-01,,Trackless Trolley,MODE,4888
Philadelphia,2020-04-01,,Trolley,MODE,14870
Philadelphia,2020-05-01,,Bus,MODE,165838
Philadelphia,2020-05-01,,CCT,MODE,973
Philadelphia,2020-05-01,,Heavy Rail,MODE,52913
Philadelphia,2020-05-01,,Regional Rail,MODE,2016
Philadelphia,2020-05-01,,Trackless Trolley,MODE,6243
Philadelphia,2020-05-01,,Trolley,MODE,20611
Philadelphia,2020-06-01,,Bus,MODE,192334
Philadelphia,2020-06-01,,CCT,MODE,1056
Philadelphia,2020-06-01,,Heavy Rail,MODE,66216
Philadelphia,2020-06-01,,Regional Rail,MODE,8516
Philadelphia,2020-06-01,,Trackless Trolley,MODE,7677
Philadelphia,2020-06-01,,Trolley,MODE,27991
Philadelphia,2020-07-01,,Bus,MODE,203766
Philadelphia,2020-07-01,,CCT,MODE,1076
Philadelphia,2020-07-01,,Heavy Rail,MODE,86270
Philadelphia,2020-07-01,,Regional Rail,MODE,17381
Philadelphia,2020-07-01,,Trackless Trolley,MODE,7666
Philadelphia,2020-07-01,,Trolley,MODE,31135
Philadelphia,2020-08-01,,Bus,MODE,189252
Philadelphia,2020-08-01,,CCT,MODE,1611
Philadelphia,2020-08-01,,Heavy Rail,MODE,87788
Philadelphia,2020-08-01,,Regional Rail,MODE,18288
Philadelphia,2020-08-01,,Trackless Trolley,MODE,7963
Philadelphia,2020-08-01,,Trolley,MODE,26191
Philadelphia,2020-09-01,,Bus,MODE,205693
Philadelphia,2020-09-01,,CCT,MODE,1471
Philadelphia,2020-09-01,,Heavy Rail,MODE,96188
Philadelphia,2020-09-01,,Regional Rail,MODE,23479
Philadelphia,2020-09-01,,Trackless Trolley,MODE,7932
Philadelphia,2020-09-01,,Trolley,MODE,23834
Philadelphia,2020-10-01,,Bus,MODE,207445
Philadelphia,2020-10-01,,CCT,MODE,1588
Philadelphia,2020-10-01,,Heavy Rail,MODE,97333
Philadelphia,2020-10-01,,Regional Rail,MODE,22844
Philadelphia,2020-10-01,,Trackless Trolley,MODE,8510
Philadelphia,2020-10-01,,Trolley,MODE,23686
Philadelphia,2020-11-01,,Bus,MODE,193063
