year,month,route_id,ridership
2019,8,59,3811
2019,8,60,8550
2019,8,61,3563
2019,8,62,226
2019,8,64,4335
2019,8,65,7052
2019,8,66,8839
2019,8,67,2674
2019,8,68,2004
2019,8,70,5029
2019,8,73,1561
2019,8,75,2663
2019,8,77,647
2019,8,78,114
2019,8,79,3898
2019,8,80,246
2019,8,84,2425
2019,8,88,1143
2019,8,89,1564
2019,8,90,446
2019,8,92,322
2019,8,93,1298
2019,8,94,421
2019,8,95,516
2019,8,96,1294
2019,8,97,655
2019,8,98,970
2019,8,99,1305
2019,8,D1,3553
2019,8,D2,3600
2019,8,103,1107
2019,8,104,3303
2019,8,105,1146
2019,8,106,1272
2019,8,107,999
2019,8,108,5204
2019,8,109,4600
2019,8,110,1925
2019,8,111,1371
2019,8,112,912
2019,8,113,6708
2019,8,114,1904
2019,8,115,1014
2019,8,117,1912
2019,8,118,430
2019,8,119,740
2019,8,120,265
2019,8,123,1021
2019,8,124,1830
2019,8,125,2289
2019,8,126,634
2019,8,127,342
2019,8,128,375
2019,8,129,977
2019,8,130,543
2019,8,131,635
2019,8,132,402
2019,8,133,95
2019,8,139,412
2019,8,150,19
2019,8,201,161
2019,8,204,215
2019,8,205,67
2019,8,206,145
2019,8,310,408
2019,8,311,212
2019,8,47M,852
2019,8,BLVDDIR,3118
2019,8,B1 OWL,1777
2019,8,63,11864
2019,8,71,4159
2019,8,41,2146
2019,8,K,6846
2019,8,51,6203
2019,8,LUCYGO,1652
2019,8,LUCYGR,1091
2019,8,L1 OWL,2147
2019,8,82,7469
2019,8,81,4475
2019,9,1,2977
2019,9,2,5672
2019,9,3,8878
2019,9,4,7738
2019,9,5,3775
2019,9,6,6188
2019,9,7,5255
2019,9,8,2690
2019,9,9,5126
2019,9,T1,10422
2019,9,T4,13033
2019,9,12,2595
2019,9,T3,13411
2019,9,14,6202
2019,9,G1,10194
2019,9,16,7022
2019,9,17,9671
2019,9,18,13879
2019,9,19,1447
2019,9,20,4898
2019,9,21,10376
2019,9,22,4473
2019,9,23,15089
2019,9,24,2408
2019,9,25,4517
2019,9,26,11262
2019,9,27,4627
2019,9,28,2054
2019,9,29,4675
2019,9,30,1349
2019,9,31,5218
2019,9,32,4888
2019,9,33,11808
2019,9,T2,12058
2019,9,35,170
2019,9,T5,13406
2019,9,37,3559
2019,9,38,2885
2019,9,39,2214
2019,9,40,7603
2019,9,42,9673
2019,9,43,3906
2019,9,44,3678
2019,9,45,5571
2019,9,46,5678
2019,9,47,17684
2019,9,48,7577
2019,9,49,3076
2019,9,50,2100
2019,9,52,15067
2019,9,53,2896
2019,9,54,7826
2019,9,55,4905
2019,9,56,12058
2019,9,57,11012
2019,9,58,8439
2019,9,59,4996
2019,9,60,10707
2019,9,61,4171
2019,9,62,246
2019,9,64,6262
2019,9,65,8344
2019,9,66,11032
2019,9,67,4933
2019,9,68,2129
2019,9,70,8365
2019,9,73,2493
2019,9,75,3320
2019,9,77,809
2019,9,78,83
2019,9,79,5555
2019,9,80,238
2019,9,84,3734
2019,9,88,2291
2019,9,89,2005
2019,9,90,447
2019,9,92,347
2019,9,93,1323
2019,9,94,543
2019,9,95,607
2019,9,96,1507
2019,9,97,690
2019,9,98,1032
2019,9,99,1279
2019,9,D1,4180
2019,9,D2,4235
2019,9,103,1347
2019,9,104,3583
2019,9,105,1294
2019,9,106,1395
2019,9,107,1082
2019,9,108,5730
2019,9,109,4561
2019,9,110,2116
2019,9,111,1575
2019,9,112,1368
2019,9,113,7312
2019,9,114,2056
2019,9,115,1316
2019,9,117,2142
2019,9,118,581
2019,9,119,758
2019,9,120,451
